ID_Laureate;AwardeeDisplayName;Religion;ReligionSubgroup
255;Walter Gilbert;Jewish;
290;Walter Kohn;Jewish;
243;William H. Stein;Jewish;
50;Wolfgang Pauli;Jewish;
559;Yitzhak Rabin;Jewish;
726;Zhores Alferov;Jewish;
1004;Abdulrazak Gurnah;Muslim;
114;Abdus Salam;Muslim;
292;Ahmed Zewail;Muslim;
538;Anwar al-Sadat;Muslim;
923;Aziz Sancar;Muslim;
914;Malala Yousafzai;Muslim;
798;Mohamed ElBaradei;Muslim;
1029;Moungi Bawendi;Muslim;
809;Muhammad Yunus;Muslim;
665;Naguib Mahfouz;Muslim;
1033;Narges Mohammadi;Muslim;
808;Orhan Pamuk;Muslim;
773;Shirin Ebadi;Muslim;
871;Tawakkol Karman;Muslim;
557;Yasser Arafat;Muslim;
745;A. Michael Spence;Unknown;
982;Abhijit Banerjee;Unknown;
199;Adolf Butenandt;Unknown;
164;Adolf von Baeyer;Unknown;
185;Adolf Windaus;Unknown;
853;Akira Suzuki;Unknown;
978;Akira Yoshino;Unknown;
1012;Alain Aspect;Unknown;
376;Alan Hodgkin;Unknown;
730;Alan MacDiarmid;Unknown;
628;Albert Camus;Unknown;
403;Albert Claude;Unknown;
814;Albert Fert;Unknown;
332;Albert Szent-Györgyi;Unknown;
304;Albrecht Kossel;Unknown;
83;Aleksandr M. Prokhorov;Unknown;
1031;Aleksey Yekimov ;Unknown;
392;Alfred D. Hershey;Unknown;
87;Alfred Kastler;Unknown;
174;Alfred Werner;Unknown;
892;Alice Munro;Unknown;
417;Allan M. Cormack;Unknown;
305;Allvar Gullstrand;Unknown;
300;Alphonse Laveran;Unknown;
543;Alva Myrdal;Unknown;
882;Alvin E. Roth;Unknown;
719;Amartya Sen;Unknown;
537;Amnesty International;Unknown;
590;Anatole France;Unknown;
360;André F. Cournand;Unknown;
849;Andre Geim;Unknown;
534;Andrei Sakharov;Unknown;
377;Andrew Huxley;Unknown;
412;Andrew V. Schally;Unknown;
926;Angus Deaton;Unknown;
1028;Anne L’Huillier;Unknown;
1017;Annie Ernaux;Unknown;
768;Anthony J. Leggett;Unknown;
1014;Anton Zeilinger;Unknown;
214;Archer J.P. Martin;Unknown;
311;Archibald V. Hill;Unknown;
998;Ardem Patapoutian;Unknown;
490;Aristide Briand;Unknown;
208;Arne Tiselius;Unknown;
920;Arthur B. McDonald;Unknown;
186;Arthur Harden;Unknown;
203;Artturi Virtanen;Unknown;
722;Arvid Carlsson;Unknown;
310;August Krogh;Unknown;
553;Aung San Suu Kyi;Unknown;
428;Barbara McClintock;Unknown;
789;Barry J. Marshall;Unknown;
1021;Ben Bernanke;Unknown;
936;Bengt Holmström;Unknown;
426;Bengt I. Samuelsson;Unknown;
1002;Benjamin List;Unknown;
933;Bernard L. Feringa;Unknown;
345;Bernardo Houssay;Unknown;
445;Bert Sakmann;Unknown;
689;Bertil Ohlin;Unknown;
145;Bertram N. Brockhouse;Unknown;
621;Bertrand Russell;Unknown;
865;Brian P. Schmidt;Unknown;
261;Bruce Merrifield;Unknown;
34;C.T.R. Wilson;Unknown;
298;Camillo Golgi;Unknown;
189;Carl Bosch;Unknown;
343;Carl Cori;Unknown;
43;Carl D. Anderson;Unknown;
588;Carl Spitteler;Unknown;
740;Carl Wieman;Unknown;
124;Carlo Rubbia;Unknown;
501;Carlos Saavedra Lamas;Unknown;
836;Carol W. Greider;Unknown;
1015;Carolyn Bertozzi;Unknown;
55;Cecil Powell;Unknown;
1020;Center for Civil Liberties;Unknown;
384;Charles B. Huggins;Unknown;
25;Charles Edouard Guillaume;Unknown;
269;Charles J. Pedersen;Unknown;
838;Charles K. Kao;Unknown;
987;Charles M. Rice;Unknown;
318;Charles Nicolle;Unknown;
307;Charles Richet;Unknown;
68;Chen Ning Yang;Unknown;
319;Christiaan Eijkman;Unknown;
404;Christian de Duve;Unknown;
453;Christiane Nüsslein-Volhard;Unknown;
873;Christopher A. Sims;Unknown;
662;Claude Simon;Unknown;
1034;Claudia Goldin;Unknown;
146;Clifford G. Shull;Unknown;
44;Clinton Davisson;Unknown;
772;Clive W.J. Granger;Unknown;
333;Corneille Heymans;Unknown;
803;Craig C. Mello;Unknown;
410;D. Carleton Gajdusek;Unknown;
857;Dale T. Mortensen;Unknown;
363;Daniel Bovet;Unknown;
157;Daniel C. Tsui;Unknown;
759;Daniel Kahneman;Unknown;
733;Daniel L. McFadden;Unknown;
674;Dario Fo;Unknown;
1007;David Card;Unknown;
423;David H. Hubel;Unknown;
928;David J. Thouless;Unknown;
877;David J. Wineland;Unknown;
1003;David W.C. MacMillan;Unknown;
237;Derek Barton;Unknown;
362;Dickinson W. Richards;Unknown;
975;Didier Queloz;Unknown;
1006;Dmitry Muratov;Unknown;
568;Doctors Without Borders;Unknown;
267;Donald J. Cram;Unknown;
962;Donna Strickland;Unknown;
817;Doris Lessing;Unknown;
230;Dorothy Crowfoot Hodgkin;Unknown;
1022;Douglas Diamond;Unknown;
710;Douglass C. North;Unknown;
264;Dudley R. Herschbach;Unknown;
443;E. Donnall Thomas;Unknown;
59;E. M. Purcell;Unknown;
397;Earl W. Sutherland, Jr.;Unknown;
324;Edgar Adrian;Unknown;
807;Edmund S. Phelps;Unknown;
166;Eduard Buchner;Unknown;
905;Edvard I. Moser;Unknown;
336;Edward A. Doisy;Unknown;
452;Edward B. Lewis;Unknown;
349;Edward C. Kendall;Unknown;
787;Edward C. Prescott;Unknown;
365;Edward Tatum;Unknown;
52;Edward V. Appleton;Unknown;
447;Edwin G. Krebs;Unknown;
212;Edwin M. McMillan;Unknown;
348;Egas Moniz;Unknown;
852;Ei-ichi Negishi;Unknown;
533;Eisaku Satō;Unknown;
275;Elias James Corey;Unknown;
835;Elizabeth H. Blackburn;Unknown;
161;Emil Fischer;Unknown;
293;Emil von Behring;Unknown;
991;Emmanuelle Charpentier;Unknown;
46;Enrico Fermi;Unknown;
909;Eric Betzig;Unknown;
738;Eric Cornell;Unknown;
454;Eric F. Wieschaus;Unknown;
821;Eric S. Maskin;Unknown;
604;Erik Axel Karlfeldt;Unknown;
47;Ernest Lawrence;Unknown;
167;Ernest Rutherford;Unknown;
244;Ernst Otto Fischer;Unknown;
127;Ernst Ruska;Unknown;
444;Erwin Neher;Unknown;
39;Erwin Schrödinger;Unknown;
983;Esther Duflo;Unknown;
608;Eugene O'Neill;Unknown;
651;Eugenio Montale;Unknown;
881;European Union;Unknown;
649;Eyvind Johnson;Unknown;
929;F. Duncan M. Haldane;Unknown;
283;F. Sherwood Rowland;Unknown;
379;Feodor Lynen;Unknown;
14;Ferdinand Braun;Unknown;
1027;Ferenc Krausz;Unknown;
786;Finn E. Kydland;Unknown;
963;Frances H. Arnold;Unknown;
372;Francis Crick;Unknown;
180;Francis W. Aston;Unknown;
699;Franco Modigliani;Unknown;
824;Françoise Barré-Sinoussi;Unknown;
494;Frank B. Kellogg;Unknown;
778;Frank Wilczek;Unknown;
613;Frans Eemil Sillanpää;Unknown;
193;Frédéric Joliot;Unknown;
463;Frédéric Passy;Unknown;
358;Frederick C. Robbins;Unknown;
313;Frederick G. Banting;Unknown;
222;Frederick Sanger;Unknown;
179;Frederick Soddy;Unknown;
474;Fredrik Bajer;Unknown;
487;Fridtjof Nansen;Unknown;
190;Friedrich Bergius;Unknown;
685;Friedrich von Hayek;Unknown;
60;Frits Zernike;Unknown;
181;Fritz Pregl;Unknown;
734;Gao Xingjian;Unknown;
708;Gary Becker;Unknown;
245;Geoffrey Wilkinson;Unknown;
371;Georg von Békésy;Unknown;
253;Georg Wittig;Unknown;
744;George A. Akerlof;Unknown;
364;George Beadle;Unknown;
596;George Bernard Shaw;Unknown;
421;George D. Snell;Unknown;
405;George E. Palade;Unknown;
840;George E. Smith;Unknown;
805;George F. Smoot;Unknown;
439;George H. Hitchings;Unknown;
326;George H. Whipple;Unknown;
964;George P. Smith;Unknown;
45;George Paget Thomson;Unknown;
235;George Porter;Unknown;
327;George R. Minot;Unknown;
430;Georges J.F. Köhler;Unknown;
697;Gerard Debreu;Unknown;
961;Gérard Mourou;Unknown;
158;Gerardus 't Hooft;Unknown;
128;Gerd Binnig;Unknown;
334;Gerhard Domagk;Unknown;
240;Gerhard Herzberg;Unknown;
582;Gerhart Hauptmann;Unknown;
1001;Giorgio Parisi;Unknown;
576;Giosuè Carducci;Unknown;
229;Giulio Natta;Unknown;
213;Glenn T. Seaborg;Unknown;
418;Godfrey N. Hounsfield;Unknown;
810;Grameen Bank;Unknown;
972;Gregg L. Semenza;Unknown;
1009;Guido W. Imbens;Unknown;
684;Gunnar Myrdal;Unknown;
461;Günter Blobel;Unknown;
17;Gustaf Dalén;Unknown;
389;H. Gobind Khorana;Unknown;
416;Hamilton O. Smith;Unknown;
91;Hannes Alfvén;Unknown;
188;Hans Fischer;Unknown;
136;Hans G. Dehmelt;Unknown;
329;Hans Spemann;Unknown;
187;Hans von Euler-Chelpin;Unknown;
823;Harald zur Hausen;Unknown;
192;Harold C. Urey;Unknown;
704;Harry M. Markowitz;Unknown;
650;Harry Martinson;Unknown;
272;Hartmut Michel;Unknown;
18;Heike Kamerlingh Onnes;Unknown;
129;Heinrich Rohrer;Unknown;
