ID_Laureate;Year;Category;LaureateNameFirst;LaureateNameLast;ParCatDegreeInstitution;ParCatDegreeCity;ParCatDegreeCountry;ParCatDegreeCityCountry;ParCatWorkInstitution;ParCatWorkCity;ParCatWorkCountry;ParCatWorkCityCountry;ParCatPrizeInstitution;ParCatPrizeCity;ParCatPrizeCountry;ParCatPrizeCityCountry
864;2011;Physics;Saul;Perlmutter;University of California;Berkley;United States;Berkley (United States);University of California,  Lawrence Berkeley National Laboratory;Berkeley;United States;Berkeley (United States);University of California;Berkeley;United States;Berkeley (United States)
866;2011;Physics;Adam G.;Riess;Harvard University;Cambridge;United States;Cambridge (United States);University of California;Berkeley;United States;Berkeley (United States);John Hopkins University;Baltimore;United States;Baltimore (United States)
865;2011;Physics;Brian P.;Schmidt;Harvard University;Cambridge;United States;Cambridge (United States);Australian National University (MSSSO Moint Strongly and Siding Spring Observations);Weston Creek;Australia;Weston Creek (Australia);Australian National University (MSSSO Moint Strongly and Siding Spring Observations);Weston Creek;Australia;Weston Creek (Australia)
876;2012;Physics;Serge;Haroche;Université Paris VI (now Université Pierre et Marie Curie);Paris;France;Paris (France);École Normale Supérieure;Paris;France;Paris (France);Collège de France;Paris;France;Paris (France)
877;2012;Physics;David J.;Wineland;Harvard University;Cambridge;United States;Cambridge (United States);University of Colorado;Boulder;United States;Boulder (United States);University of Colorado;Boulder;United States;Boulder (United States)
887;2013;Physics;FranÃ§ois;Englert;Université Libre de Bruxelles (ULB);Brussels;Belgium;Brussels (Belgium);Université Libre de Bruxelles (ULB);Brussels;Belgium;Brussels (Belgium);Université Libre de Bruxelles (ULB);Brussels;Belgium;Brussels (Belgium)
888;2013;Physics;Peter;Higgs;University of London;London;United Kingdom;London (United Kingdom);University of Edinburgh;Edinburgh;United Kingdom;Edinburgh (United Kingdom);University of Edinburgh;Scotland;United Kingdom;Scotland (United Kingdom)
906;2014;Physics;Isamu;Akasaki;Nagoya University;Nagoya;Japan;Nagoya (Japan);Nagoya University;Nagoya;Japan;Nagoya (Japan);Meijo University;Nagoya;Japan;Nagoya (Japan)
907;2014;Physics;Hiroshi;Amano;Nagoya University;Nagoya;Japan;Nagoya (Japan);Nagoya University;Nagoya;Japan;Nagoya (Japan);Nagoya University;Nagoya;Japan;Nagoya (Japan)
908;2014;Physics;Shuji;Nakamura;University of Tokushima;Tokushima;Japan;Tokushima (Japan);University of Tokushima;Tokushima;Japan;Tokushima (Japan);University of California;Santa Barbara;United States;Santa Barbara (United States)
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
